"","region","provincia","comuna","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta","Antofagasta","Antofagasta",21140,28613.3333333333,37485,66099,70280,75000,79281.6666666667,98800,112970,164100,166666.666666667,120000
"2","Antofagasta","Antofagasta","Mejillones",19800,30401.6666666667,43081.8571428571,46500,NA,NA,NA,79040,128916.666666667,133468,155000,124000
"3","Antofagasta","Antofagasta","Sierra Gorda",19932,27591.4285714286,30260,60000,65009,51250,69166.6666666667,88880,110500,149513.333333333,1e+05,1e+05
"4","Antofagasta","Antofagasta","Taltal",NA,21460,26775,40714.2857142857,47951.25,50000,60000,95950,110500,198925.666666667,156666.666666667,1e+05
"5","Antofagasta","El Loa","Calama",20133.3333333333,31434,45160.5,53333.3333333333,58592.375,62238.25,80000,84166.6666666667,127492.857142857,159452.833333333,148968.6,116666.666666667
"6","Antofagasta","El Loa","San Pedro de Atacama",NA,19620.5714285714,21420,33333.3333333333,54502.8571428571,48855.7142857143,70000,93064.2857142857,104975,151908,93333.3333333333,125000
"7","Antofagasta","Tocopilla","María Elena",NA,NA,33468.75,53333.3333333333,60240,NA,86428.5714285714,88375,114920,148784,148000,141250
"8","Antofagasta","Tocopilla","Tocopilla",15504,24740.4285714286,24418.8,40860,50702,51428.5714285714,70000,76760,103133.333333333,150626.666666667,137500,1e+05
"9","Araucanía","Cautín","Carahue",NA,NA,NA,17674.0555555555,16757.1428571429,28185.2857142857,21692.3076923077,30089.75,55244.5,71766.4,50000,50000
"10","Araucanía","Cautín","Cholchol",NA,NA,NA,NA,NA,NA,NA,30300,40504.2857142857,58346.6666666667,75000,56571.4285714286
"11","Araucanía","Cautín","Cunco",NA,NA,NA,NA,NA,26250,30000,47470,53408.3333333333,65640,75000,61000
"12","Araucanía","Cautín","Curarrehue",NA,NA,NA,30645,29325,32897.7777777778,26666.6666666667,47874,49725,79643.2,68888.8888888889,62340.3333333334
"13","Araucanía","Cautín","Freire",NA,NA,NA,23333.3333333333,22439.4,25000,24850,34087.5,47883.3333333333,65640,70000,70000
"14","Araucanía","Cautín","Galvarino",NA,NA,NA,NA,NA,21333.3333333333,21126.2,25250,45872.6666666667,58271.6666666667,57500,50000
"15","Araucanía","Cautín","Gorbea",NA,NA,16643,33010.6666666666,23928.6666666667,40000,35000,40400,66300,54700,74561.6666666667,80166.6666666667
"16","Araucanía","Cautín","Lautaro",NA,NA,NA,20694.2857142857,27916.6666666667,33333.3333333333,34250,49400,61197.5,65640,78333.3333333333,67083.3333333333
"17","Araucanía","Cautín","Loncoche",NA,NA,NA,25161.25,29325,26666.6666666667,36666.6666666667,45450,60775,98460,90000,65708.3333333333
"18","Araucanía","Cautín","Melipeuco",NA,NA,NA,NA,NA,21250,25000,37875,54773.3333333333,83177.25,73333.3333333333,71250
"19","Araucanía","Cautín","Nueva Imperial",NA,NA,NA,27328,NA,30000,NA,49377.7777777778,62248.3333333333,78995.3333333333,52500,62500
"20","Araucanía","Cautín","Padre Las Casas",NA,NA,NA,26000,27091.2,32583.3333333334,38643.5,47133.3333333333,57520.1111111112,61620,85000,60000
"21","Araucanía","Cautín","Perquenco",NA,NA,NA,NA,NA,22448.3333333333,28750,37033.3333333333,58685.7142857143,68466.6666666667,70000,68750
"22","Araucanía","Cautín","Pitrufquén",17395.2,20655.25,NA,23987,31280,NA,33666.6666666667,42813.3333333333,68878.3333333333,69286.6666666667,96750,75000
"23","Araucanía","Cautín","Pucón",9900,16095,22695,15125,24096,NA,36104,56032,69615,102106.666666667,90000,80000
"24","Araucanía","Cautín","Saavedra",7671.75,14306.6666666667,5140.8,14301,NA,15666.6666666667,13857.1428571429,21280,41990,49230,77500,62500
"25","Araucanía","Cautín","Temuco",14122.3333333333,21460,35190,40000,62750,59366.5,63360,79186.6666666667,79560,103930,101750,83333.3333333333
"26","Araucanía","Cautín","Teodoro Schmidt",8250,19314,NA,16396.8,19550,18260,NA,NA,54470.25,54773.3333333333,50000,53333.3333333333
"27","Araucanía","Cautín","Toltén",7593.14285714286,14677.5,10710,NA,NA,NA,20000,32825,51350,71890,51666.6666666667,56666.6666666667
"28","Araucanía","Cautín","Vilcún",NA,NA,NA,20430,26080,NA,30000,33666.6666666667,55250,65640,70000,60000
"29","Araucanía","Cautín","Villarrica",19800,25036.6666666667,32130,30000,34610,33333.3333333333,50000,51376,89006.6666666667,75917.25,96750,75000
"30","Araucanía","Malleco","Angol",16912,18241,25704,24000,27215,30000,50640,55381.6666666666,65728,91166.6666666667,112500,70000
"31","Araucanía","Malleco","Collipulli",8154,13795.7142857143,11067,24002.625,27610,28416.6666666667,32933.3333333333,35927.2727272727,68466.6666666667,77947.5,75000,75000
"32","Araucanía","Malleco","Curacautín",9060,13412.5,28421.75,20000,22509.75,NA,36666.6666666667,39520,55250,89975,66666.6666666667,72500
"33","Araucanía","Malleco","Ercilla",NA,NA,NA,NA,NA,20000,24286.5,30300,47883.3333333333,46978.3333333333,55714.2857142857,60000
"34","Araucanía","Malleco","Lonquimay",NA,NA,NA,20000,19550,25000,26250,39520,53408.3333333333,65275.3333333333,66000,75000
"35","Araucanía","Malleco","Los Sauces",NA,NA,NA,12258,20080,28000,25844,38957.1428571429,60036.5,71474.6666666667,74000,72000
"36","Araucanía","Malleco","Lumaco",NA,NA,NA,NA,NA,23912.5,28750,35350,44195.6,65640,70000,58260.6666666667
"37","Araucanía","Malleco","Purén",NA,NA,NA,29251.0714285714,39100,NA,24700,40400,55986.6666666667,68466.6666666667,54821.4285714286,50000
"38","Araucanía","Malleco","Renaico",12728.5714285714,20794.8,15850.8,NA,NA,28000,32000,36360,61620,64272.5,73333.3333333333,62666.6666666667
"39","Araucanía","Malleco","Traiguén",10066.6666666667,14306.6666666667,32130,22983.75,25362.8571428571,NA,34182,40400,58933.3333333333,46215,75000,61875
"40","Araucanía","Malleco","Victoria",10469.3333333333,13949,16493.4,19875,26066.6666666667,28571.4285714286,35000,45450,56769.375,69100,87500,70000
"41","Arica Y Parinacota","Arica","Arica",18422,25036.6666666667,33712.75,40860,50438.7083333334,46666.6666666667,53846.6666666667,69160,96687.5,110515,101428.571428571,81666.6666666667
"42","Arica Y Parinacota","Arica","Camarones",NA,NA,NA,NA,NA,NA,NA,59280,73944,154050,1e+05,43928.5714285714
"43","Arica Y Parinacota","Parinacota","Putre",NA,NA,NA,30645,62625.5833333334,41880,49400,49400,55250,96356.6666666665,78750,75000
"44","Atacama","Chañaral","Chañaral",19800,20657.2222222222,26775,33333.3333333333,35403.6363636364,NA,57351.1111111111,70655.6,102700,115477.777777778,112857.142857143,1e+05
"45","Atacama","Chañaral","Diego de Almagro",36240,45244.8333333333,49980,54285.7142857143,56224,67500,65866.6666666667,94940,110223.75,138664.5,150000,108125
"46","Atacama","Copiapó","Caldera",NA,26825,33831.2857142857,39073.75,56224,50000,53771.4285714286,72453.3333333333,102212.5,127451,1e+05,112416.666666666
"47","Atacama","Copiapó","Copiapó",19800,30848.75,33660,46666.6666666667,46895,NA,54500,84166.6666666667,104975,145866.666666667,160000,1e+05
"48","Atacama","Copiapó","Tierra Amarilla",13529.6,25245.25,30345,40000,45180,45750,50000,74336,91218.125,140032,137500,80000
"49","Atacama","Huasco","Alto del Carmen",NA,19570,21738.75,24453.3333333333,43423,35011.1111111111,50000,55147.25,95225,105024,89000,116666.666666667
"50","Atacama","Huasco","Freirina",9422.4,18066,17850,33198.75,33968.5714285714,31250,51000,59142,85085,122487.5,1e+05,1e+05
"51","Atacama","Huasco","Huasco",9664,24142.5,29345.4,NA,40160,38700,59280,78780,100664,116693.333333333,150000,85416.6666666667
"52","Atacama","Huasco","Vallenar",14668.5714285714,21460,30600,33333.3333333333,43292.6666666667,43333.3333333333,53333.3333333333,73008.5714285714,88400,102700,125000,83333.3333333333
"53","Aysén","Aysén","Aysén",19800,24142.5,32283,41736.2333333334,NA,NA,NA,NA,105140,138573.333333333,133333.333333333,1e+05
"54","Aysén","Aysén","Cisnes",NA,NA,NA,30400,50200,NA,70571.4285714286,101000,126824.25,109400,120000,133333.333333333
"55","Aysén","Capitán Prat","Cochrane",NA,NA,NA,40860,50451,49140,75000,134370,96297.5,169570,136666.666666667,120250
"56","Aysén","Coyhaique","Coyhaique",17314.6666666667,27208.2142857143,34272,42500,58232,NA,70000,98800,110440,135075,132857.142857143,120000
"57","Aysén","General Carrera","Chile Chico",NA,NA,22491,NA,NA,NA,NA,96960,154050,154050,139060.75,125000
"58","Aysén","General Carrera","Río Ibáñez",NA,NA,NA,28166.6666666667,32328.8,NA,65000,73113.3333333333,82160,103930,105000,1e+05
"59","Biobío","Arauco","Arauco",NA,21460,24276,30753.25,29325,33750,50000,47133.3333333333,82160,87520,1e+05,86666.6666666667
"60","Biobío","Arauco","Cañete",NA,15361.8333333333,18912.5,23048.8857142857,26940.6666666667,NA,26346.6666666667,42420,55250,58346.6666666667,64875,63666.6666666666
"61","Biobío","Arauco","Contulmo",NA,13193,13387.5,13271,19684.5,25000,32933.3333333333,34580,55250,63965,70000,60000
"62","Biobío","Arauco","Curanilahue",11743.5714285714,16095,14994,24897.75,31124,32434,40000,41325.8333333334,57460,73944,88750,75000
"63","Biobío","Arauco","Lebu",10066.6666666667,14306.6666666667,17136,25177.3333333333,23594,30000,39520,37875,48062.25,65640,59495.4,75000
"64","Biobío","Arauco","Tirúa",NA,14306.6666666667,7735,NA,NA,NA,28392.5,29290,57768.75,53025,73333.3333333333,60000
"65","Biobío","Biobío","Alto Biobío",NA,NA,NA,NA,NA,NA,NA,27270,55250,95182.1428571429,64444.4444444444,60000
"66","Biobío","Biobío","Antuco",NA,15098.6428571428,17595,NA,NA,30000,42000,51640,70443.75,62960,1e+05,90000
"67","Biobío","Biobío","Cabrero",NA,15656,20836,NA,NA,40000,38571.4285714286,53866.6666666667,66300,80226.6666666667,77142.8571428571,75000
"68","Biobío","Biobío","Laja",NA,18106.875,35700,30822.5,35857.1428571429,30000,50000,52693.3333333333,77350,79315,70000,82166.6666666667
"69","Biobío","Biobío","Mulchén",9900,13806,15300,23901.5,23343,NA,35000,39520,60775,87520,105000,75000
"70","Biobío","Biobío","Nacimiento",NA,18492.8928571428,26775,27333.3333333333,33466.6666666667,43824,49400,54287.5,71890,83579.5,71428.5714285714,86666.6666666667
"71","Biobío","Biobío","Negrete",NA,15022,17403.75,22000,26104,25000,28833.3333333333,41121.4285714286,66300,78768,70000,66000
"72","Biobío","Biobío","Quilaco",NA,16095,12608.3333333333,14949.2857142857,21335,22500,26666.6666666667,37929.1666666667,55250,76580,110000,80333.3333333333
"73","Biobío","Biobío","Quilleco",NA,14306.6666666667,14994,NA,NA,24166.6666666667,32933.3333333333,39642.5,55250,66369.3333333333,66666.6666666667,75000
"74","Biobío","Biobío","San Rosendo",NA,12446.8,18742.5,NA,NA,33750,42500,50500,69062.5,58346.6666666667,87500,70000
"75","Biobío","Biobío","Santa Bárbara",NA,12741.875,18564,NA,NA,NA,30000,35350,55250,65640,1e+05,66666.6666666667
"76","Biobío","Biobío","Tucapel",NA,11266.5,15130,NA,NA,31428.5714285714,34000,49400,60775,66369.3333333333,80000,75000
"77","Biobío","Biobío","Yumbel",NA,13412.5,16065,NA,NA,32083.3333333334,39386.6666666667,45450,58933.3333333333,65640,86250,83333.3333333333
"78","Biobío","Concepción","Chiguayante",NA,NA,NA,NA,41594.2857142857,50000,58000,74066.6666666667,92083.3333333333,145866.666666667,115714.285714286,75712.5
"79","Biobío","Concepción","Concepción",14496,29355,41947.5,48193.5416666666,61425,NA,60000,77636,85085,94084,127500,85500
"80","Biobío","Concepción","Coronel",12482.6666666667,17168,23990.4,26000,NA,NA,NA,66407.5,66300,91947.5,92000,90000
"81","Biobío","Concepción","Florida",NA,16960.6666666667,21420,NA,NA,25000,29000,43093.3333333333,62616.6666666667,76580,68571.4285714286,64083.3333333334
"82","Biobío","Concepción","Hualpén",NA,NA,NA,NA,NA,NA,NA,64640,95306.25,103793.25,110000,75000
"83","Biobío","Concepción","Hualqui",14496,14448.8333333333,19992,NA,NA,36000,43333.3333333333,43766.6666666667,68764.5833333333,71474.6666666667,66666.6666666667,66666.6666666667
"84","Biobío","Concepción","Lota",13288,15147.2,15757,23000,31375,30000,43333.3333333333,43766.6666666667,71051.5,77025,83333.3333333333,64666.6666666667
"85","Biobío","Concepción","Penco",12080,16095,24097.5,36881.6666666667,35720,37833.3333333333,51741.4285714286,54540,67374.9583333333,71565.8333333333,87500,80000
"86","Biobío","Concepción","San Pedro de La Paz",NA,NA,NA,NA,47943.1666666667,61666.6666666667,58333.3333333333,68175,101660,109400,91000,93333.3333333333
"87","Biobío","Concepción","Santa Juana",NA,13591.3333333333,19099.5,29333.3333333333,28112,32208.6111111111,36000,50500,69983.3333333333,72933.3333333333,68333.3333333333,57500
"88","Biobío","Concepción","Talcahuano",19586.8571428572,19570,32939.5,39498,44343.3333333333,50000,59880,69858.3333333333,84938.75,99690.75,124440,83000
"89","Biobío","Concepción","Tomé",12563.2,17123.75,24208,28602,33466.6666666667,NA,46666.6666666667,46106.6666666667,68141.6666666667,78768,88889.6666666667,87500
"90","Biobío","Ñuble","Bulnes",11240.5,15290.25,16065,NA,NA,27500,40000,50324,62616.6666666667,78038.6666666667,70000,80000
"91","Biobío","Ñuble","Chillán",12835,21460,25721,37500,50200,NA,46623.7,58677.5,82905.8181818182,91166.6666666667,93333.3333333333,80000
"92","Biobío","Ñuble","Chillán Viejo",NA,NA,NA,NA,32482.5,NA,49400,67333.3333333333,73666.6666666667,71890,83333.3333333333,75000
"93","Biobío","Ñuble","Cobquecura",NA,14677.5,11514.5714285714,NA,NA,30000,34106.6666666666,35350,51350,101127,72336,115000
"94","Biobío","Ñuble","Coelemu",NA,11445.3333333333,16065,NA,NA,30433.3333333333,37040,43009.1666666666,60775,82160,95333.3333333333,66666.6666666667
"95","Biobío","Ñuble","Coihueco",8110.85714285714,13412.5,14258.75,16583.3333333334,18072,22000,30420,34087.5,45898.125,54700,62500,60000
"96","Biobío","Ñuble","El Carmen",NA,9839.83333333333,13387.6666666667,10650.5,24173.6666666667,24498.8333333334,31000,20200,51350,73459.2916666667,66666.6666666667,56666.6666666667
"97","Biobío","Ñuble","Ninhue",NA,11742,12852,NA,NA,18714.2857142857,28750,33666.6666666667,58933.3333333333,66551.6666666667,70000,52500
"98","Biobío","Ñuble","Ñiquén",NA,14677.5,12608.3333333333,NA,NA,NA,21000,33666.6666666667,58933.3333333333,73024.5,80000,50000
"99","Biobío","Ñuble","Pemuco",NA,12071.25,12048.75,NA,NA,21250,27410,33618.5714285714,58933.3333333333,67645.6666666667,74020,75000
"100","Biobío","Ñuble","Pinto",NA,10069.75,17136,NA,NA,26085.7142857143,25224.6666666667,40400,63537.5,64737.6,70000,62500
"101","Biobío","Ñuble","Portezuelo",NA,11266.5,11138.4,NA,NA,21337.5,22935.25,39263.75,52357.5,82160,77500,85416.6666666667
"102","Biobío","Ñuble","Quillón",11137.5,11742,11662.6,NA,NA,NA,25800,42420,58012.5,104969.3,78250,75000
"103","Biobío","Ñuble","Quirihue",NA,16095,21420,21142.8571428571,36658.125,30000,39520,46712.5,62985,66369.3333333333,75000,68333.3333333333
"104","Biobío","Ñuble","Ránquil",NA,14677.5,12852,NA,NA,NA,32500,46831.2666666666,68786.25,86973,66666.6666666667,78333.3333333333
"105","Biobío","Ñuble","San Carlos",NA,13591.3333333333,18742.5,27240,33483.3333333334,33333.3333333333,30000,53530,68466.6666666667,65640,88000,60250
"106","Biobío","Ñuble","San Fabián",NA,14581.5,13816,NA,NA,NA,32250,40400,61620,66551.6666666667,66666.6666666667,64583.3333333334
"107","Biobío","Ñuble","San Ignacio",NA,10730,11473.4,NA,NA,21250,27500,25250,49725,64287.7777777778,52500,54899
"108","Biobío","Ñuble","San Nicolás",5119.66666666667,12876,12852,NA,NA,NA,31616,36528.3333333333,58933.3333333333,70317,78600,72713.5
"109","Biobío","Ñuble","Treguaco",NA,NA,NA,24516,NA,NA,NA,NA,NA,99554,70000,75000
"110","Biobío","Ñuble","Yungay",NA,18509.25,20081.25,28571.4285714286,35140,32500,49400,50500,63537.5,85879,96400,84412.1666666667
"111","BíoBío","Arauco","Los Alamos",9362.83333333333,13917.5714285714,23205,NA,NA,31666.6666666667,44066.6666666666,36360,55250,NA,NA,NA
"112","BíoBío","BíoBío","Los Ángeles",13288,16452.6666666667,24152.75,33333.3333333333,NA,NA,NA,NA,NA,NA,NA,NA
"113","Coquimbo","Choapa","Canela",NA,NA,17136,NA,26773.3333333333,30000,28771.5,40400,60775,78111.6,83333.3333333333,90000
"114","Coquimbo","Choapa","Illapel",10981.8181818182,17168,16065,24000,40160,35970.6666666667,42500,63125,87295,107835,90618,80000
"115","Coquimbo","Choapa","Los Vilos",12375,16580.3571428572,18003,NA,41543.75,37970,47500,51386,82178.5,68466.6666666667,1e+05,87346.6666666667
"116","Coquimbo","Choapa","Salamanca",NA,NA,16340.4,20000,35857.1428571429,34890,28750,53280,60775,79131.4285714286,107800,80000
"117","Coquimbo","Elqui","Andacollo",15531.4285714286,22127.2222222222,21614.2857142857,29000,33801.3333333333,33166.6666666667,44046.6666666667,60600,102700,145866.666666667,120000,75000
"118","Coquimbo","Elqui","Coquimbo",13590,23069.5,32130,38318.6666666667,48333.0416666666,45825,57142.8571428571,64808.3333333334,96687.5,109400,120000,80333.3333333333
"119","Coquimbo","Elqui","La Higuera",NA,NA,17850,NA,34212.5,36520,39520,59280,92083.3333333333,89640,1e+05,77556.5833333333
"120","Coquimbo","Elqui","La Serena",16106.6666666667,18700.8571428571,33492.8333333333,49375,55220,63333.3333333333,56800,63545.8333333334,102700,129913.142857143,130000,85714.2857142857
"121","Coquimbo","Elqui","Paiguano",NA,NA,NA,NA,NA,NA,NA,NA,NA,96636.6666666667,90000,80000
"122","Coquimbo","Elqui","Vicuña",NA,NA,23990.4,28333.3333333333,35140,NA,59580,50500,82598.75,85323.3333333333,95890.2,75000
"123","Coquimbo","Limarí","Combarbalá",8582.7,15656,16065,24528,27242.7777777778,NA,45666.6666666667,49400,83488.8888888889,81685.3333333333,1e+05,76666.6666666667
"124","Coquimbo","Limarí","Monte Patria",NA,NA,21423,22666.6666666667,30892.3076923077,34583.3333333334,49285.7142857143,50702,87018.75,87520,85000,66666.6666666667
"125","Coquimbo","Limarí","Ovalle",13046.4,20830,28560,28230.75,33553,35527.4,51085.7142857143,52826.6666666666,74321,87520,1e+05,70000
"126","Coquimbo","Limarí","Punitaqui",NA,NA,18764,NA,26940.6666666667,25000,38158.0952380952,40826.4444444444,69598.75,67463.3333333333,105000,60250
"127","Coquimbo","Limarí","Río Hurtado",NA,NA,17191.8214285714,NA,23426.6666666667,NA,28750,49400,73239,82050,66666.6666666667,60000
"128","Los Lagos","Chiloé","Ancud",NA,NA,NA,34050,34212.5,40083.3333333333,67184,79790,85451.7857142857,95725,85000,67900.5
"129","Los Lagos","Chiloé","Castro",21285,37555,57120,NA,NA,54368.625,62500,73730,88400,107725,1e+05,80333.3333333333
"130","Los Lagos","Chiloé","Chonchi",10872,17883.3333333333,20495.8181818182,NA,NA,38333.3333333334,46750,58435.7142857143,76440,80901.6,79166.6666666667,61916.7
"131","Los Lagos","Chiloé","Curaco de Vélez",NA,NA,NA,32189.4285714286,20493,NA,43750,54340,66300,97275.7142857143,88333.3333333333,65000
"132","Los Lagos","Chiloé","Dalcahue",NA,NA,NA,NA,NA,40080.4,57500,59166.25,87295,95853.3333333333,1e+05,75000
"133","Los Lagos","Chiloé","Puqueldón",NA,NA,NA,NA,NA,NA,43197.6666666667,46578.5714285714,64458.3333333333,77025,75000,60000
"134","Los Lagos","Chiloé","Queilén",NA,NA,NA,NA,NA,NA,37424,41721.1111111111,66300,65684,77500,70000
"135","Los Lagos","Chiloé","Quellón",NA,NA,NA,NA,NA,NA,60000,58787.5,83980,98460,96666.6666666667,80333.3333333333
"136","Los Lagos","Chiloé","Quemchi",NA,NA,NA,NA,NA,32575,49400,45450,66300,77025,92500,66666.6666666667
"137","Los Lagos","Chiloé","Quinchao",NA,NA,NA,NA,NA,36520,55000,56349,51350,98460,87500,50000
"138","Los Lagos","Llanquihue","Calbuco",NA,NA,NA,NA,NA,36000,49400,60600,61620,82160,83333.3333333333,62500
"139","Los Lagos","Llanquihue","Fresia",11476,10193.5,21420,NA,NA,35500,39520,51371.5,86883.3333333333,87884.6666666667,65833.3333333333,74166.6666666667
"140","Los Lagos","Llanquihue","Frutillar",NA,NA,NA,38548.3333333333,44176,40000,39520,65663.75,66300,82050,86666.6666666667,62500
"141","Los Lagos","Llanquihue","Llanquihue",13741,16452.6666666666,24097.5,NA,NA,NA,49640,56645.3333333333,82875,86738.5714285714,88000,75000
"142","Los Lagos","Llanquihue","Los Muermos",NA,NA,NA,24516,31280,34237.5,44460,59280,72745.8333333333,95725,92500,66666.6666666667
"143","Los Lagos","Llanquihue","Maullín",10469.3333333333,15926.6666666667,19452.8571428571,28091.25,46895,NA,49400,52693.3333333333,66014,78736.6666666667,90000,83333.3333333333
"144","Los Lagos","Llanquihue","Puerto Montt",14496,22801.25,30345,40000,55220,51666.6666666667,64000,85850,85583.3333333333,109400,1e+05,80333.3333333333
"145","Los Lagos","Llanquihue","Puerto Varas",19328,71533.3333333333,29452.5,37000,51681,45000,60000,67333.3333333333,86821.4285714286,110357.25,141875,90000
"146","Los Lagos","Osorno","Osorno",10469.3333333333,21460,31212,30000,47188,38695,51085.7142857143,63485.7142857143,79898,90310,102171.25,80000
"147","Los Lagos","Osorno","Puerto Octay",12080,19314,26775,NA,NA,32000,36666.6666666667,53530,58933.3333333333,72700,78000,81521.1666666667
"148","Los Lagos","Osorno","Purranque",7550,13519.8,23675.3333333334,30000,23803.1666666666,33785.4166666666,35627.6,50500,65189.6,68000,85000,73333.3333333333
"149","Los Lagos","Osorno","Puyehue",NA,NA,NA,NA,NA,NA,37500,45450,68510,85332,65000,80000
"150","Los Lagos","Osorno","Río Negro",NA,NA,NA,20666.6666666667,24702.5,NA,34666.6666666667,40400,74587.5,87843.8333333333,70000,76666.6666666667
"151","Los Lagos","Osorno","San Juan de La Costa",NA,NA,NA,16526.7142857143,39100,24346.6666666667,20000,33666.6666666667,49296,60361.6,50000,60000
"152","Los Lagos","Osorno","San Pablo",NA,NA,NA,NA,NA,27390,32000,40400,53040,57982,50000,62250
"153","Los Ríos","Ranco","Futrono",NA,NA,NA,24250,26797.1428571429,30888.8888888889,31750,55718.3333333333,60775,83144,80000,75000
"154","Los Ríos","Ranco","La Unión",18120,43993,32130,30645,23460,NA,47250,45450,69062.5,87520,95000,66666.6666666667
"155","Los Ríos","Ranco","Lago Ranco",NA,NA,NA,NA,NA,28571.4285714286,32000,37170.5,58933.3333333333,91166.6666666667,60285.7142857143,48750
"156","Los Ríos","Ranco","Río Bueno",NA,NA,NA,24344,29099.8,NA,36666.6666666667,47989.5,69062.5,82050,76000,72500
"157","Los Ríos","Valdivia","Corral",NA,NA,NA,NA,NA,NA,38570,47975,62248.3333333334,71890,88333.3333333333,60000
"158","Los Ríos","Valdivia","Lanco",NA,NA,NA,NA,NA,30000,37500,46258,64090,82160,70000,62500
"159","Los Ríos","Valdivia","Los Lagos",11274.6666666667,19504.5833333334,19748.3333333333,24000,20080,33300,33333.3333333333,48606.25,63869,78403.3333333333,1e+05,79375
"160","Los Ríos","Valdivia","Máfil",NA,NA,NA,NA,NA,NA,35376.6666666667,50500,64090,82160,73750,62500
"161","Los Ríos","Valdivia","Mariquina",12540,17321.2857142857,19992,NA,NA,NA,32500,40400,66300,66755,62500,64000
"162","Los Ríos","Valdivia","Paillaco",10354.2857142857,17525.6666666667,17850,NA,NA,NA,35000,46123.3333333333,66300,74346.4166666667,68333.3333333333,62500
"163","Los Ríos","Valdivia","Panguipulli",NA,NA,NA,NA,NA,40000,37500,40400,52487.5,82050,72500,62500
