"","sexo","region","oficio_id","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Hombre","Antofagasta","Agricultores y  y Trabajadores Calificados",60400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Hombre","Araucanía","Agricultores y  y Trabajadores Calificados",31408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Hombre","Arica y Parinacota","Agricultores y  y Trabajadores Calificados",39600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Hombre","Atacama","Agricultores y  y Trabajadores Calificados",37424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Hombre","Aysén","Agricultores y  y Trabajadores Calificados",36240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Hombre","Bíobío","Agricultores y  y Trabajadores Calificados",36240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Hombre","Coquimbo","Agricultores y  y Trabajadores Calificados",33462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Hombre","Los Lagos","Agricultores y  y Trabajadores Calificados",31408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Hombre","Los Ríos","Agricultores y  y Trabajadores Calificados",31408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Hombre","Magallanes","Agricultores y  y Trabajadores Calificados",36240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Hombre","Maule","Agricultores y  y Trabajadores Calificados",30200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Hombre","Metropolitana","Agricultores y  y Trabajadores Calificados",36240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Hombre","O'Higgins","Agricultores y  y Trabajadores Calificados",36240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Hombre","Tarapacá","Agricultores y  y Trabajadores Calificados",46750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Hombre","Valparaíso","Agricultores y  y Trabajadores Calificados",35640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Hombre","Antofagasta","Comerciantes y Vendedores",70064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Hombre","Araucanía","Comerciantes y Vendedores",37206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Hombre","Arica y Parinacota","Comerciantes y Vendedores",59400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Hombre","Atacama","Comerciantes y Vendedores",60400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Hombre","Aysén","Comerciantes y Vendedores",59400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Hombre","Bíobío","Comerciantes y Vendedores",48320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Hombre","Coquimbo","Comerciantes y Vendedores",42280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Hombre","Los Lagos","Comerciantes y Vendedores",41978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Hombre","Los Ríos","Comerciantes y Vendedores",39260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Hombre","Magallanes","Comerciantes y Vendedores",51084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Hombre","Maule","Comerciantes y Vendedores",37448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Hombre","Metropolitana","Comerciantes y Vendedores",48320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Hombre","O'Higgins","Comerciantes y Vendedores",51340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Hombre","Tarapacá","Comerciantes y Vendedores",60400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Hombre","Valparaíso","Comerciantes y Vendedores",45904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Hombre","Antofagasta","Empleados de Oficina",37508,NA,NA,170000,190760,NA,235000,261590,353600,382900,351724,5e+05
"32","Hombre","Araucanía","Empleados de Oficina",34732,NA,NA,120000,150600,NA,180000,179275,221000,243415,280000,3e+05
"33","Hombre","Arica y Parinacota","Empleados de Oficina",45300,NA,NA,176000,202808,NA,2e+05,186850,276250,328200,3e+05,450000
"34","Hombre","Atacama","Empleados de Oficina",36240,NA,NA,2e+05,180720,NA,190000,218160,243100,382900,4e+05,4e+05
"35","Hombre","Aysén","Empleados de Oficina",48320,NA,NA,140000,175700,NA,250000,282800,464100,328200,347500,395000
"36","Hombre","Bíobío","Empleados de Oficina",36240,NA,NA,140000,180720,NA,180000,191900,276250,266871,280000,350000
"37","Hombre","Coquimbo","Empleados de Oficina",33824,NA,NA,140000,160640,NA,180000,181800,254150,278970,350000,350000
"38","Hombre","Los Lagos","Empleados de Oficina",33166,NA,NA,120000,158520,NA,180000,202000,254150,273500,3e+05,305500
"39","Hombre","Los Ríos","Empleados de Oficina",31408,NA,NA,130000,170680,NA,155000,181800,276250,232475,250000,3e+05
"40","Hombre","Magallanes","Empleados de Oficina",37448,NA,NA,150969,177708,NA,250000,247450,419900,317260,350000,4e+05
"41","Hombre","Maule","Empleados de Oficina",31408,NA,NA,120000,150600,NA,150000,171700,254150,251620,280000,3e+05
"42","Hombre","Metropolitana","Empleados de Oficina",38656,NA,NA,160000,180720,NA,2e+05,202000,276250,273500,310000,380000
"43","Hombre","O'Higgins","Empleados de Oficina",35636,NA,NA,150000,180720,NA,180000,181800,276250,273500,340000,380000
"44","Hombre","Tarapacá","Empleados de Oficina",48320,NA,NA,160000,235940,NA,195000,181800,331500,328200,350000,379000
"45","Hombre","Valparaíso","Empleados de Oficina",33824,NA,NA,180000,160640,NA,2e+05,202000,265200,273500,295000,355302
"46","Hombre","Antofagasta","Ff.aa.",129256,NA,149940,NA,NA,238000,NA,NA,NA,NA,NA,NA
"47","Hombre","Araucanía","Ff.aa.",89100,NA,165930,NA,NA,316988,NA,NA,NA,NA,NA,NA
"48","Hombre","Arica y Parinacota","Ff.aa.",84560,NA,235620,NA,NA,341950,NA,NA,NA,NA,NA,NA
"49","Hombre","Atacama","Ff.aa.",157040,NA,107100,NA,NA,247500,NA,NA,NA,NA,NA,NA
"50","Hombre","Aysén","Ff.aa.",157040,NA,299880,NA,NA,310000,NA,NA,NA,NA,NA,NA
"51","Hombre","Bíobío","Ff.aa.",84560,NA,139230,NA,NA,243000,NA,NA,NA,NA,NA,NA
"52","Hombre","Coquimbo","Ff.aa.",93016,NA,160650,NA,NA,4e+05,NA,NA,NA,NA,NA,NA
"53","Hombre","Los Lagos","Ff.aa.",96640,NA,182070,NA,NA,375000,NA,NA,NA,NA,NA,NA
"54","Hombre","Los Ríos","Ff.aa.",84560,NA,246330,NA,NA,248912,NA,NA,NA,NA,NA,NA
"55","Hombre","Magallanes","Ff.aa.",119800,NA,160650,NA,NA,350000,NA,NA,NA,NA,NA,NA
"56","Hombre","Maule","Ff.aa.",91808,NA,149940,NA,NA,262800,NA,NA,NA,NA,NA,NA
"57","Hombre","Metropolitana","Ff.aa.",102680,NA,160650,NA,NA,245000,NA,NA,NA,NA,NA,NA
"58","Hombre","O'Higgins","Ff.aa.",108720,NA,160650,NA,NA,154663,NA,NA,NA,NA,NA,NA
"59","Hombre","Tarapacá","Ff.aa.",157040,NA,160650,NA,NA,350000,NA,NA,NA,NA,NA,NA
"60","Hombre","Valparaíso","Ff.aa.",84560,NA,107100,NA,NA,2e+05,NA,NA,NA,NA,NA,NA
"61","Hombre","Antofagasta","Miembros del Poder Ejecutivo",485100,NA,NA,NA,NA,NA,NA,NA,801450,NA,NA,NA
"62","Hombre","Araucanía","Miembros del Poder Ejecutivo",297000,NA,NA,NA,NA,NA,NA,NA,338910,NA,NA,NA
"63","Hombre","Arica y Parinacota","Miembros del Poder Ejecutivo",362400,NA,NA,NA,NA,NA,NA,NA,639600,NA,NA,NA
"64","Hombre","Atacama","Miembros del Poder Ejecutivo",594000,NA,NA,NA,NA,NA,NA,NA,477750,NA,NA,NA
"65","Hombre","Aysén","Miembros del Poder Ejecutivo",211400,NA,NA,NA,NA,NA,NA,NA,552500,NA,NA,NA
"66","Hombre","Bíobío","Miembros del Poder Ejecutivo",396000,NA,NA,NA,NA,NA,NA,NA,497250,NA,NA,NA
"67","Hombre","Coquimbo","Miembros del Poder Ejecutivo",396000,NA,NA,NA,NA,NA,NA,NA,400530,NA,NA,NA
"68","Hombre","Los Lagos","Miembros del Poder Ejecutivo",396000,NA,NA,NA,NA,NA,NA,NA,484542,NA,NA,NA
"69","Hombre","Los Ríos","Miembros del Poder Ejecutivo",375191,NA,NA,NA,NA,NA,NA,NA,495105,NA,NA,NA
"70","Hombre","Magallanes","Miembros del Poder Ejecutivo",244620,NA,NA,NA,NA,NA,NA,NA,891826,NA,NA,NA
"71","Hombre","Maule","Miembros del Poder Ejecutivo",332200,NA,NA,NA,NA,NA,NA,NA,564850,NA,NA,NA
"72","Hombre","Metropolitana","Miembros del Poder Ejecutivo",422800,NA,NA,NA,NA,NA,NA,NA,777798,NA,NA,NA
"73","Hombre","O'Higgins","Miembros del Poder Ejecutivo",297000,NA,NA,NA,NA,NA,NA,NA,442000,NA,NA,NA
"74","Hombre","Tarapacá","Miembros del Poder Ejecutivo",396000,NA,NA,NA,NA,NA,NA,NA,410800,NA,NA,NA
"75","Hombre","Valparaíso","Miembros del Poder Ejecutivo",376200,NA,NA,NA,NA,NA,NA,NA,552500,NA,NA,NA
"76","Hombre","Antofagasta","Oficiales, Operarios y Artesanos",54360,NA,112124,NA,NA,190000,NA,NA,NA,NA,NA,NA
"77","Hombre","Araucanía","Oficiales, Operarios y Artesanos",39600,NA,75650,NA,NA,110000,NA,NA,NA,NA,NA,NA
"78","Hombre","Arica y Parinacota","Oficiales, Operarios y Artesanos",48320,NA,107100,NA,NA,117500,NA,NA,NA,NA,NA,NA
"79","Hombre","Atacama","Oficiales, Operarios y Artesanos",59400,NA,107100,NA,NA,160000,NA,NA,NA,NA,NA,NA
"80","Hombre","Aysén","Oficiales, Operarios y Artesanos",54360,NA,93712,NA,NA,130000,NA,NA,NA,NA,NA,NA
"81","Hombre","Bíobío","Oficiales, Operarios y Artesanos",42280,NA,74970,NA,NA,120000,NA,NA,NA,NA,NA,NA
"82","Hombre","Coquimbo","Oficiales, Operarios y Artesanos",39600,NA,85680,NA,NA,137179,NA,NA,NA,NA,NA,NA
"83","Hombre","Los Lagos","Oficiales, Operarios y Artesanos",36240,NA,80325,NA,NA,120655,NA,NA,NA,NA,NA,NA
"84","Hombre","Los Ríos","Oficiales, Operarios y Artesanos",39600,NA,85680,NA,NA,120000,NA,NA,NA,NA,NA,NA
"85","Hombre","Magallanes","Oficiales, Operarios y Artesanos",48320,NA,136170,NA,NA,182600,NA,NA,NA,NA,NA,NA
"86","Hombre","Maule","Oficiales, Operarios y Artesanos",42280,NA,74970,NA,NA,120000,NA,NA,NA,NA,NA,NA
"87","Hombre","Metropolitana","Oficiales, Operarios y Artesanos",49528,NA,107100,NA,NA,170000,NA,NA,NA,NA,NA,NA
"88","Hombre","O'Higgins","Oficiales, Operarios y Artesanos",59400,NA,91035,NA,NA,140000,NA,NA,NA,NA,NA,NA
"89","Hombre","Tarapacá","Oficiales, Operarios y Artesanos",60400,NA,107100,NA,NA,180000,NA,NA,NA,NA,NA,NA
"90","Hombre","Valparaíso","Oficiales, Operarios y Artesanos",39600,NA,96390,NA,NA,150000,NA,NA,NA,NA,NA,NA
"91","Hombre","Antofagasta","Operadores y Montadores",67648,100966,136170,NA,NA,220000,NA,NA,NA,NA,NA,NA
"92","Hombre","Araucanía","Operadores y Montadores",72480,53650,85680,NA,NA,120000,NA,NA,NA,NA,NA,NA
"93","Hombre","Arica y Parinacota","Operadores y Montadores",96640,64380,128520,NA,NA,148040,NA,NA,NA,NA,NA,NA
"94","Hombre","Atacama","Operadores y Montadores",181200,96570,107100,NA,NA,180000,NA,NA,NA,NA,NA,NA
"95","Hombre","Aysén","Operadores y Montadores",132880,88065,107100,NA,NA,140000,NA,NA,NA,NA,NA,NA
"96","Hombre","Bíobío","Operadores y Montadores",84560,64380,80325,NA,NA,140000,NA,NA,NA,NA,NA,NA
"97","Hombre","Coquimbo","Operadores y Montadores",96640,66526,95319,NA,NA,160000,NA,NA,NA,NA,NA,NA
"98","Hombre","Los Lagos","Operadores y Montadores",72480,64380,85680,NA,NA,120000,NA,NA,NA,NA,NA,NA
"99","Hombre","Los Ríos","Operadores y Montadores",61608,64380,74970,NA,NA,118500,NA,NA,NA,NA,NA,NA
"100","Hombre","Magallanes","Operadores y Montadores",102680,96570,145265,NA,NA,2e+05,NA,NA,NA,NA,NA,NA
"101","Hombre","Maule","Operadores y Montadores",81302,64380,80325,NA,NA,127820,NA,NA,NA,NA,NA,NA
"102","Hombre","Metropolitana","Operadores y Montadores",60400,80475,107100,NA,NA,170000,NA,NA,NA,NA,NA,NA
"103","Hombre","O'Higgins","Operadores y Montadores",90600,75110,86751,NA,NA,141804,NA,NA,NA,NA,NA,NA
"104","Hombre","Tarapacá","Operadores y Montadores",108720,100981,107100,NA,NA,2e+05,NA,NA,NA,NA,NA,NA
"105","Hombre","Valparaíso","Operadores y Montadores",82144,85840,107100,NA,NA,161089,NA,NA,NA,NA,NA,NA
"106","Hombre","Antofagasta","Profesionales y Científicos",72480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Hombre","Araucanía","Profesionales y Científicos",54360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Hombre","Arica y Parinacota","Profesionales y Científicos",72480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Hombre","Atacama","Profesionales y Científicos",72480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Hombre","Aysén","Profesionales y Científicos",79200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Hombre","Bíobío","Profesionales y Científicos",49500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Hombre","Coquimbo","Profesionales y Científicos",59400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Hombre","Los Lagos","Profesionales y Científicos",68474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Hombre","Los Ríos","Profesionales y Científicos",59400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Hombre","Magallanes","Profesionales y Científicos",108720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Hombre","Maule","Profesionales y Científicos",50118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Hombre","Metropolitana","Profesionales y Científicos",71360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Hombre","O'Higgins","Profesionales y Científicos",88098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Hombre","Tarapacá","Profesionales y Científicos",84560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Hombre","Valparaíso","Profesionales y Científicos",68856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Hombre","Antofagasta","Técnicos y Profesionales Nivel Medio",59900,160950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Hombre","Araucanía","Técnicos y Profesionales Nivel Medio",49500,107300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Hombre","Arica y Parinacota","Técnicos y Profesionales Nivel Medio",56108,214600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Hombre","Atacama","Técnicos y Profesionales Nivel Medio",59400,127150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Hombre","Aysén","Técnicos y Profesionales Nivel Medio",76626,158268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Hombre","Bíobío","Técnicos y Profesionales Nivel Medio",51212,114811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Hombre","Coquimbo","Técnicos y Profesionales Nivel Medio",48320,128760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Hombre","Los Lagos","Técnicos y Profesionales Nivel Medio",59400,126983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Hombre","Los Ríos","Técnicos y Profesionales Nivel Medio",62816,97643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Hombre","Magallanes","Técnicos y Profesionales Nivel Medio",59400,191038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Hombre","Maule","Técnicos y Profesionales Nivel Medio",55336,116420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Hombre","Metropolitana","Técnicos y Profesionales Nivel Medio",59400,160950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Hombre","O'Higgins","Técnicos y Profesionales Nivel Medio",59400,126227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Hombre","Tarapacá","Técnicos y Profesionales Nivel Medio",99000,107300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
