geography_id,geography_index,name,name_es
1,Arica y Parinacota,Arica y Parinacota Region,Región de Arica y Parinacota
2,Tarapaca,Tarapacá Region,Región de Tarapacá
3,Antofagasta,Antofagasta Region,Región de Antofagasta
4,Atacama,Atacama Region,Región de Atacama
5,Coquimbo,Coquimbo Region,Región de Coquimbo
6,Valparaiso,Valparaíso Region,Región de Valparaíso
7,Metropolitana de Santiago,Metropolitan Region of Santiago,Región Metropolitana de Santiago
8,Libertador Bernardo OHiggins,Libertador Bernardo O’Higgins Region,Región del Libertador Bernardo O’Higgins
9,Maule,Maule Region,Región del Maule
10,Bio-Bio,Bío-Bío Region,Región del Bío-Bío
11,Araucania,Araucanía Region,Región de la Araucanía
12,Los Rios,Los Ríos Region,Región de los Ríos
13,Los Lagos,Los Lagos Region,Región de los Lagos
14,Aisen,Aisén del General Carlos Ibáñez del Campo Region,Región de Aisén del General Carlos Ibañez del Campo
15,Magallanes,Magallanes and Chilean Antarctica Region,Región de Magallanes y de la Antártica Chilena