"","sex","work_day","geography_name","geography_id","year","weighted_mean"
"1","Hombre","Completa","Antofagasta","p21",2010,575980.724507862
"2","Hombre","Completa","Antofagasta","p21",2011,590383.736153248
"3","Hombre","Completa","Antofagasta","p21",2012,664624.067440206
"4","Hombre","Completa","Antofagasta","p21",2013,683091.966432685
"5","Hombre","Completa","Antofagasta","p21",2014,708081.984045055
"6","Hombre","Completa","Antofagasta","p21",2015,803695.517623932
"7","Hombre","Completa","Arauco","p82",2010,294594.479615795
"8","Hombre","Completa","Arauco","p82",2011,279179.804277911
"9","Hombre","Completa","Arauco","p82",2012,320170.955913937
"10","Hombre","Completa","Arauco","p82",2013,329882.007888684
"11","Hombre","Completa","Arauco","p82",2014,341879.652609276
"12","Hombre","Completa","Arauco","p82",2015,348451.239922392
"13","Hombre","Completa","Arica","p151",2010,367732.667054063
"14","Hombre","Completa","Arica","p151",2011,389997.557043183
"15","Hombre","Completa","Arica","p151",2012,508627.810474872
"16","Hombre","Completa","Arica","p151",2013,424591.765166758
"17","Hombre","Completa","Arica","p151",2014,452011.573533962
"18","Hombre","Completa","Arica","p151",2015,510581.568782083
"19","Hombre","Completa","Aysén","p112",2010,605061.334266027
"20","Hombre","Completa","Aysén","p112",2011,571163.258850699
"21","Hombre","Completa","Aysén","p112",2012,624437.666862165
"22","Hombre","Completa","Aysén","p112",2013,627683.947748576
"23","Hombre","Completa","Aysén","p112",2014,643116.213175372
"24","Hombre","Completa","Aysén","p112",2015,763414.174063465
"25","Hombre","Completa","Bíobío","p83",2010,348098.923440861
"26","Hombre","Completa","Bíobío","p83",2011,337402.921103906
"27","Hombre","Completa","Bíobío","p83",2012,349244.746902085
"28","Hombre","Completa","Bíobío","p83",2013,382382.280469265
"29","Hombre","Completa","Bíobío","p83",2014,412131.709099703
"30","Hombre","Completa","Bíobío","p83",2015,499255.089756774
"31","Hombre","Completa","Cachapoal","p61",2010,405242.41793339
"32","Hombre","Completa","Cachapoal","p61",2011,378406.059579195
"33","Hombre","Completa","Cachapoal","p61",2012,424034.935213808
"34","Hombre","Completa","Cachapoal","p61",2013,438626.894795716
"35","Hombre","Completa","Cachapoal","p61",2014,464856.733906533
"36","Hombre","Completa","Cachapoal","p61",2015,524213.03420431
"37","Hombre","Completa","Capitán Prat","p113",2010,656496.262974757
"38","Hombre","Completa","Capitán Prat","p113",2011,711657.698028061
"39","Hombre","Completa","Capitán Prat","p113",2012,518182.345152127
"40","Hombre","Completa","Capitán Prat","p113",2013,503125
"41","Hombre","Completa","Capitán Prat","p113",2014,722166.666666667
"42","Hombre","Completa","Cardenal Caro","p62",2010,244957.519772347
"43","Hombre","Completa","Cardenal Caro","p62",2011,293733.256913212
"44","Hombre","Completa","Cardenal Caro","p62",2012,370421.753681464
"45","Hombre","Completa","Cardenal Caro","p62",2013,461881.496689103
"46","Hombre","Completa","Cardenal Caro","p62",2014,407060.802678012
"47","Hombre","Completa","Cardenal Caro","p62",2015,390759.367195219
"48","Hombre","Completa","Cauquenes","p72",2010,205314.13052455
"49","Hombre","Completa","Cauquenes","p72",2011,243784.996497587
"50","Hombre","Completa","Cauquenes","p72",2012,260274.712903734
"51","Hombre","Completa","Cauquenes","p72",2013,305730.529222073
"52","Hombre","Completa","Cauquenes","p72",2014,318701.129109414
"53","Hombre","Completa","Cauquenes","p72",2015,322530.509529146
"54","Hombre","Completa","Cautín","p91",2010,332338.726678841
"55","Hombre","Completa","Cautín","p91",2011,345651.562069222
"56","Hombre","Completa","Cautín","p91",2012,382895.972241449
"57","Hombre","Completa","Cautín","p91",2013,398961.989935957
"58","Hombre","Completa","Cautín","p91",2014,435951.236802915
"59","Hombre","Completa","Cautín","p91",2015,468065.201363651
"60","Hombre","Completa","Chacabuco","p133",2010,456025.5447671
"61","Hombre","Completa","Chacabuco","p133",2011,654519.097084467
"62","Hombre","Completa","Chacabuco","p133",2012,857128.711285052
"63","Hombre","Completa","Chacabuco","p133",2013,693020.260976233
"64","Hombre","Completa","Chacabuco","p133",2014,704483.990026579
"65","Hombre","Completa","Chacabuco","p133",2015,699446.443394341
"66","Hombre","Completa","Chañaral","p32",2010,425862.785847143
"67","Hombre","Completa","Chañaral","p32",2011,514573.631301793
"68","Hombre","Completa","Chañaral","p32",2012,545170.018419612
"69","Hombre","Completa","Chañaral","p32",2013,673860.73370075
"70","Hombre","Completa","Chañaral","p32",2014,540149.937522971
"71","Hombre","Completa","Chañaral","p32",2015,603184.079376305
"72","Hombre","Completa","Chiloé","p102",2010,352584.605136262
"73","Hombre","Completa","Chiloé","p102",2011,353671.068532457
"74","Hombre","Completa","Chiloé","p102",2012,439241.543204059
"75","Hombre","Completa","Chiloé","p102",2013,431470.692949924
"76","Hombre","Completa","Chiloé","p102",2014,475392.442951249
"77","Hombre","Completa","Chiloé","p102",2015,463780.26258498
"78","Hombre","Completa","Choapa","p42",2010,399568.815427125
"79","Hombre","Completa","Choapa","p42",2011,349965.727325241
"80","Hombre","Completa","Choapa","p42",2012,369396.199237107
"81","Hombre","Completa","Choapa","p42",2013,453267.789558467
"82","Hombre","Completa","Choapa","p42",2014,465904.285156118
"83","Hombre","Completa","Choapa","p42",2015,521296.225543924
"84","Hombre","Completa","Colchagua","p63",2010,296387.961375095
"85","Hombre","Completa","Colchagua","p63",2011,339320.690501117
"86","Hombre","Completa","Colchagua","p63",2012,350869.730597504
"87","Hombre","Completa","Colchagua","p63",2013,376265.878056377
"88","Hombre","Completa","Colchagua","p63",2014,346757.993469909
"89","Hombre","Completa","Colchagua","p63",2015,363418.283889173
"90","Hombre","Completa","Concepción","p81",2010,401622.13454422
"91","Hombre","Completa","Concepción","p81",2011,463159.012022548
"92","Hombre","Completa","Concepción","p81",2012,436114.323915934
"93","Hombre","Completa","Concepción","p81",2013,470499.089269801
"94","Hombre","Completa","Concepción","p81",2014,517502.528799556
"95","Hombre","Completa","Concepción","p81",2015,554676.506120576
"96","Hombre","Completa","Copiapó","p31",2010,513172.927561414
"97","Hombre","Completa","Copiapó","p31",2011,582782.299217415
"98","Hombre","Completa","Copiapó","p31",2012,510089.069593121
"99","Hombre","Completa","Copiapó","p31",2013,670696.643813514
"100","Hombre","Completa","Copiapó","p31",2014,664758.336689082
"101","Hombre","Completa","Copiapó","p31",2015,720465.234376262
"102","Hombre","Completa","Cordillera","p152",2010,389048.568875593
"103","Hombre","Completa","Cordillera","p152",2011,413558.988654942
"104","Hombre","Completa","Cordillera","p152",2012,520584.658336696
"105","Hombre","Completa","Cordillera","p152",2013,489443.865394915
"106","Hombre","Completa","Cordillera","p152",2014,530158.408297989
"107","Hombre","Completa","Cordillera","p152",2015,606041.957547831
"108","Hombre","Completa","Coyhaique","p111",2010,486552.053541424
"109","Hombre","Completa","Coyhaique","p111",2011,522811.096675197
"110","Hombre","Completa","Coyhaique","p111",2012,514549.267121055
"111","Hombre","Completa","Coyhaique","p111",2013,535441.751857782
"112","Hombre","Completa","Coyhaique","p111",2014,606472.836031589
"113","Hombre","Completa","Coyhaique","p111",2015,779213.216182651
"114","Hombre","Completa","Curicó","p73",2010,329394.528856763
"115","Hombre","Completa","Curicó","p73",2011,327808.342323425
"116","Hombre","Completa","Curicó","p73",2012,343206.155176586
"117","Hombre","Completa","Curicó","p73",2013,364039.214526938
"118","Hombre","Completa","Curicó","p73",2014,393072.407640155
"119","Hombre","Completa","Curicó","p73",2015,468278.788090435
"120","Hombre","Completa","El Loa","p22",2010,718223.565002878
"121","Hombre","Completa","El Loa","p22",2011,824325.342205897
"122","Hombre","Completa","El Loa","p22",2012,828867.79102213
"123","Hombre","Completa","El Loa","p22",2013,1119314.29099063
"124","Hombre","Completa","El Loa","p22",2014,1066731.59433816
"125","Hombre","Completa","El Loa","p22",2015,1061704.47350367
"126","Hombre","Completa","Elqui","p41",2010,448750.281162599
"127","Hombre","Completa","Elqui","p41",2011,472834.366248891
"128","Hombre","Completa","Elqui","p41",2012,533403.799558774
"129","Hombre","Completa","Elqui","p41",2013,574782.569073413
"130","Hombre","Completa","Elqui","p41",2014,603413.868278
"131","Hombre","Completa","Elqui","p41",2015,629098.074019727
"132","Hombre","Completa","General Carrera","p114",2010,293380.521094211
"133","Hombre","Completa","General Carrera","p114",2011,351227.422757963
"134","Hombre","Completa","General Carrera","p114",2012,613601.217586506
"135","Hombre","Completa","General Carrera","p114",2013,736624.33969044
"136","Hombre","Completa","General Carrera","p114",2014,421694.592614187
"137","Hombre","Completa","General Carrera","p114",2015,530854.576891341
"138","Hombre","Completa","Huasco","p33",2010,341942.601456153
"139","Hombre","Completa","Huasco","p33",2011,365897.832812465
"140","Hombre","Completa","Huasco","p33",2012,436939.881638563
"141","Hombre","Completa","Huasco","p33",2013,418168.66985709
"142","Hombre","Completa","Huasco","p33",2014,398487.787531168
"143","Hombre","Completa","Huasco","p33",2015,448633.666123049
"144","Hombre","Completa","Iquique","p11",2010,552048.441604153
"145","Hombre","Completa","Iquique","p11",2011,526707.036046298
"146","Hombre","Completa","Iquique","p11",2012,591422.789009084
"147","Hombre","Completa","Iquique","p11",2013,684223.751724426
"148","Hombre","Completa","Iquique","p11",2014,678893.145668826
"149","Hombre","Completa","Iquique","p11",2015,770869.498867278
"150","Hombre","Completa","Limarí","p43",2010,300158.099823901
"151","Hombre","Completa","Limarí","p43",2011,312780.853645869
"152","Hombre","Completa","Limarí","p43",2012,358429.683074484
"153","Hombre","Completa","Limarí","p43",2013,367705.63647877
"154","Hombre","Completa","Limarí","p43",2014,369094.235730797
"155","Hombre","Completa","Limarí","p43",2015,362473.779643693
"156","Hombre","Completa","Linares","p74",2010,222985.202916076
"157","Hombre","Completa","Linares","p74",2011,253414.720217235
"158","Hombre","Completa","Linares","p74",2012,281659.429730125
"159","Hombre","Completa","Linares","p74",2013,339735.601163834
"160","Hombre","Completa","Linares","p74",2014,346976.499828345
"161","Hombre","Completa","Linares","p74",2015,386161.980868268
"162","Hombre","Completa","Llanquihue","p101",2010,377311.068765221
"163","Hombre","Completa","Llanquihue","p101",2011,455158.970644774
"164","Hombre","Completa","Llanquihue","p101",2012,574164.816136461
"165","Hombre","Completa","Llanquihue","p101",2013,481990.328768016
"166","Hombre","Completa","Llanquihue","p101",2014,592535.040732626
"167","Hombre","Completa","Llanquihue","p101",2015,743481.091033692
"168","Hombre","Completa","Los Andes","p53",2010,550204.338812228
"169","Hombre","Completa","Los Andes","p53",2011,509046.010721767
"170","Hombre","Completa","Los Andes","p53",2012,488618.215316501
"171","Hombre","Completa","Los Andes","p53",2013,506131.969129689
"172","Hombre","Completa","Los Andes","p53",2014,570782.660943171
"173","Hombre","Completa","Los Andes","p53",2015,563492.204480615
"174","Hombre","Completa","Magallanes","p121",2010,802674.551360184
"175","Hombre","Completa","Magallanes","p121",2011,862389.046576123
"176","Hombre","Completa","Magallanes","p121",2012,786961.205759147
"177","Hombre","Completa","Magallanes","p121",2013,781298.887683571
"178","Hombre","Completa","Magallanes","p121",2014,754494.681089715
"179","Hombre","Completa","Magallanes","p121",2015,856754.52676697
"180","Hombre","Completa","Maipo","p134",2010,383282.509456575
"181","Hombre","Completa","Maipo","p134",2011,419828.944417157
"182","Hombre","Completa","Maipo","p134",2012,489598.410363653
"183","Hombre","Completa","Maipo","p134",2013,553258.985916512
"184","Hombre","Completa","Maipo","p134",2014,493128.564664894
"185","Hombre","Completa","Maipo","p134",2015,519807.323548411
"186","Hombre","Completa","Malleco","p92",2010,292830.73398503
"187","Hombre","Completa","Malleco","p92",2011,361374.197855429
"188","Hombre","Completa","Malleco","p92",2012,407636.446895992
"189","Hombre","Completa","Malleco","p92",2013,349172.537884148
"190","Hombre","Completa","Malleco","p92",2014,385483.257593406
"191","Hombre","Completa","Malleco","p92",2015,383423.901210724
"192","Hombre","Completa","Marga Marga","p58",2010,411063.636901548
"193","Hombre","Completa","Marga Marga","p58",2011,480979.507430439
"194","Hombre","Completa","Marga Marga","p58",2012,458707.876310445
"195","Hombre","Completa","Marga Marga","p58",2013,500734.521365145
"196","Hombre","Completa","Marga Marga","p58",2014,537462.325785261
"197","Hombre","Completa","Marga Marga","p58",2015,533087.642643279
"198","Hombre","Completa","Melipilla","p135",2010,376877.339192432
"199","Hombre","Completa","Melipilla","p135",2011,379146.567193362
"200","Hombre","Completa","Melipilla","p135",2012,336249.573612239
"201","Hombre","Completa","Melipilla","p135",2013,356188.763479859
"202","Hombre","Completa","Melipilla","p135",2014,459179.132881155
"203","Hombre","Completa","Melipilla","p135",2015,460379.011293275
"204","Hombre","Completa","Ñuble","p84",2010,270889.09509015
"205","Hombre","Completa","Ñuble","p84",2011,364870.411138361
"206","Hombre","Completa","Ñuble","p84",2012,453369.473740996
"207","Hombre","Completa","Ñuble","p84",2013,435660.406549716
"208","Hombre","Completa","Ñuble","p84",2014,473683.986723433
"209","Hombre","Completa","Ñuble","p84",2015,588868.839378324
"210","Hombre","Completa","Osorno","p103",2010,351734.343307488
"211","Hombre","Completa","Osorno","p103",2011,383137.258052555
"212","Hombre","Completa","Osorno","p103",2012,419066.593146776
"213","Hombre","Completa","Osorno","p103",2013,480845.430867716
"214","Hombre","Completa","Osorno","p103",2014,542729.863953606
"215","Hombre","Completa","Osorno","p103",2015,509254.349316151
"216","Hombre","Completa","Parinacota","p152",2010,178154.068051298
"217","Hombre","Completa","Parinacota","p152",2011,137038.634403989
"218","Hombre","Completa","Parinacota","p152",2012,174394.161652163
"219","Hombre","Completa","Parinacota","p152",2013,183540.194093659
"220","Hombre","Completa","Parinacota","p152",2014,139500.530954306
"221","Hombre","Completa","Parinacota","p152",2015,205715.068698713
"222","Hombre","Completa","Petorca","p54",2010,364577.982436863
"223","Hombre","Completa","Petorca","p54",2011,419595.619060303
"224","Hombre","Completa","Petorca","p54",2012,494077.199761965
"225","Hombre","Completa","Petorca","p54",2013,465925.270594445
"226","Hombre","Completa","Petorca","p54",2014,408359.866321566
"227","Hombre","Completa","Petorca","p54",2015,496706.674972131
"228","Hombre","Completa","Quillota","p55",2010,341985.706903637
"229","Hombre","Completa","Quillota","p55",2011,335103.466395512
"230","Hombre","Completa","Quillota","p55",2012,452837.197244036
"231","Hombre","Completa","Quillota","p55",2013,448699.876125949
"232","Hombre","Completa","Quillota","p55",2014,488911.699918872
"233","Hombre","Completa","Quillota","p55",2015,465615.47882288
"234","Hombre","Completa","Ranco","p142",2010,289231.207265573
"235","Hombre","Completa","Ranco","p142",2011,291638.928105668
"236","Hombre","Completa","Ranco","p142",2012,383869.95580171
"237","Hombre","Completa","Ranco","p142",2013,329550.835641365
"238","Hombre","Completa","Ranco","p142",2014,299339.98678716
"239","Hombre","Completa","Ranco","p142",2015,361992.197155438
"240","Hombre","Completa","San Antonio","p56",2010,297713.599344089
"241","Hombre","Completa","San Antonio","p56",2011,529063.557489119
"242","Hombre","Completa","San Antonio","p56",2012,439926.952866493
"243","Hombre","Completa","San Antonio","p56",2013,391022.648535361
"244","Hombre","Completa","San Antonio","p56",2014,397566.813974389
"245","Hombre","Completa","San Antonio","p56",2015,485533.947626073
"246","Hombre","Completa","San Felipe","p57",2010,313246.985951689
"247","Hombre","Completa","San Felipe","p57",2011,318336.94693556
"248","Hombre","Completa","San Felipe","p57",2012,407904.724853033
"249","Hombre","Completa","San Felipe","p57",2013,438126.030514178
"250","Hombre","Completa","San Felipe","p57",2014,433873.595109138
"251","Hombre","Completa","San Felipe","p57",2015,467348.105281337
"252","Hombre","Completa","Santiago","p131",2010,584869.291175577
"253","Hombre","Completa","Santiago","p131",2011,623614.416359087
"254","Hombre","Completa","Santiago","p131",2012,678391.25886448
"255","Hombre","Completa","Santiago","p131",2013,738522.983242195
"256","Hombre","Completa","Santiago","p131",2014,717246.762362366
"257","Hombre","Completa","Santiago","p131",2015,767152.873148999
"258","Hombre","Completa","Talagante","p136",2010,322169.932615931
"259","Hombre","Completa","Talagante","p136",2011,399001.944078707
"260","Hombre","Completa","Talagante","p136",2012,431634.491485012
"261","Hombre","Completa","Talagante","p136",2013,492456.019373001
"262","Hombre","Completa","Talagante","p136",2014,530165.710304146
"263","Hombre","Completa","Talagante","p136",2015,654186.375852307
"264","Hombre","Completa","Talca","p71",2010,303466.28105165
"265","Hombre","Completa","Talca","p71",2011,372114.510338858
"266","Hombre","Completa","Talca","p71",2012,365179.557653902
"267","Hombre","Completa","Talca","p71",2013,418175.120262802
"268","Hombre","Completa","Talca","p71",2014,438753.117845635
"269","Hombre","Completa","Talca","p71",2015,509815.883349348
"270","Hombre","Completa","Tamarugal","p12",2010,319806.289392282
"271","Hombre","Completa","Tamarugal","p12",2011,310337.373724545
"272","Hombre","Completa","Tamarugal","p12",2012,410810.556635248
"273","Hombre","Completa","Tamarugal","p12",2013,483383.100276889
"274","Hombre","Completa","Tamarugal","p12",2014,454969.784745504
"275","Hombre","Completa","Tamarugal","p12",2015,523384.052692263
"276","Hombre","Completa","Tierra del Fuego","p123",2010,449579.791020783
"277","Hombre","Completa","Tierra del Fuego","p123",2011,480213.821235753
"278","Hombre","Completa","Tierra del Fuego","p123",2012,603250
"279","Hombre","Completa","Tierra del Fuego","p123",2013,852500
"280","Hombre","Completa","Tierra del Fuego","p123",2014,822162.341585561
"281","Hombre","Completa","Tierra del Fuego","p123",2015,640169.016093248
"282","Hombre","Completa","Tocopilla","p23",2010,478549.739227324
"283","Hombre","Completa","Tocopilla","p23",2011,435988.046731775
"284","Hombre","Completa","Tocopilla","p23",2012,620428.099270075
"285","Hombre","Completa","Tocopilla","p23",2013,555225.879951726
"286","Hombre","Completa","Tocopilla","p23",2014,666503.517807834
"287","Hombre","Completa","Tocopilla","p23",2015,455398.873842605
"288","Hombre","Completa","Última Esperanza","p124",2010,436274.835755741
"289","Hombre","Completa","Última Esperanza","p124",2011,376485.727504056
"290","Hombre","Completa","Última Esperanza","p124",2012,467242.480070816
"291","Hombre","Completa","Última Esperanza","p124",2013,595440.049980523
"292","Hombre","Completa","Última Esperanza","p124",2014,576924.527005609
"293","Hombre","Completa","Última Esperanza","p124",2015,857448.086503563
"294","Hombre","Completa","Valdivia","p141",2010,377167.618963366
"295","Hombre","Completa","Valdivia","p141",2011,378107.703908237
"296","Hombre","Completa","Valdivia","p141",2012,456767.59423492
"297","Hombre","Completa","Valdivia","p141",2013,448908.638125448
"298","Hombre","Completa","Valdivia","p141",2014,473329.011634835
"299","Hombre","Completa","Valdivia","p141",2015,525726.25340877
"300","Hombre","Completa","Valparaíso","p51",2010,435919.736711841
"301","Hombre","Completa","Valparaíso","p51",2011,515224.547181595
"302","Hombre","Completa","Valparaíso","p51",2012,597751.112655142
"303","Hombre","Completa","Valparaíso","p51",2013,685746.932274074
"304","Hombre","Completa","Valparaíso","p51",2014,765536.4263389
"305","Hombre","Completa","Valparaíso","p51",2015,722447.954511534
"306","Hombre","Completa",NA,NA,2010,252092.829153373
"307","Hombre","Completa",NA,NA,2011,282592.443599165
"308","Hombre","Completa",NA,NA,2012,344641.778755998
"309","Hombre","Parcial","Antofagasta","p21",2010,254624.931421622
"310","Hombre","Parcial","Antofagasta","p21",2011,310446.155616184
"311","Hombre","Parcial","Antofagasta","p21",2012,336363.117897369
"312","Hombre","Parcial","Antofagasta","p21",2013,313455.630707275
"313","Hombre","Parcial","Antofagasta","p21",2014,280037.843629
"314","Hombre","Parcial","Antofagasta","p21",2015,571093.079722809
"315","Hombre","Parcial","Arauco","p82",2010,115590.462369928
"316","Hombre","Parcial","Arauco","p82",2011,116738.26994865
"317","Hombre","Parcial","Arauco","p82",2012,177253.639609931
"318","Hombre","Parcial","Arauco","p82",2013,104167.291570769
"319","Hombre","Parcial","Arauco","p82",2014,164103.615994046
"320","Hombre","Parcial","Arauco","p82",2015,157031.254077151
"321","Hombre","Parcial","Arica","p151",2010,221423.710753084
"322","Hombre","Parcial","Arica","p151",2011,183980.407911111
"323","Hombre","Parcial","Arica","p151",2012,221626.184036545
"324","Hombre","Parcial","Arica","p151",2013,199165.065179649
"325","Hombre","Parcial","Arica","p151",2014,207244.118052932
"326","Hombre","Parcial","Arica","p151",2015,286133.982667228
"327","Hombre","Parcial","Aysén","p112",2010,201495.826494546
"328","Hombre","Parcial","Aysén","p112",2011,247658.300106941
"329","Hombre","Parcial","Aysén","p112",2012,287832.881773726
"330","Hombre","Parcial","Aysén","p112",2013,293353.105519917
"331","Hombre","Parcial","Aysén","p112",2014,451230.356253995
"332","Hombre","Parcial","Aysén","p112",2015,305879.840681875
"333","Hombre","Parcial","Bíobío","p83",2010,102307.667059468
"334","Hombre","Parcial","Bíobío","p83",2011,122056.481269155
"335","Hombre","Parcial","Bíobío","p83",2012,173384.484940347
"336","Hombre","Parcial","Bíobío","p83",2013,434509.594827127
"337","Hombre","Parcial","Bíobío","p83",2014,126862.96464072
"338","Hombre","Parcial","Bíobío","p83",2015,212153.511589125
"339","Hombre","Parcial","Cachapoal","p61",2010,150154.735994824
"340","Hombre","Parcial","Cachapoal","p61",2011,245778.990340969
"341","Hombre","Parcial","Cachapoal","p61",2012,203849.058888366
"342","Hombre","Parcial","Cachapoal","p61",2013,300410.439606103
"343","Hombre","Parcial","Cachapoal","p61",2014,291561.307857467
"344","Hombre","Parcial","Cachapoal","p61",2015,276462.471349372
"345","Hombre","Parcial","Capitán Prat","p113",2010,1269131.41182218
"346","Hombre","Parcial","Capitán Prat","p113",2011,222320.86721309
"347","Hombre","Parcial","Capitán Prat","p113",2014,153333.333333333
"348","Hombre","Parcial","Cardenal Caro","p62",2010,110603.634189143
"349","Hombre","Parcial","Cardenal Caro","p62",2011,181626.792756121
"350","Hombre","Parcial","Cardenal Caro","p62",2012,189186.558446146
"351","Hombre","Parcial","Cardenal Caro","p62",2013,222027.13804115
"352","Hombre","Parcial","Cardenal Caro","p62",2014,202943.371561235
"353","Hombre","Parcial","Cardenal Caro","p62",2015,260245.48636189
"354","Hombre","Parcial","Cauquenes","p72",2010,101964.158944497
"355","Hombre","Parcial","Cauquenes","p72",2011,219380.947378872
"356","Hombre","Parcial","Cauquenes","p72",2012,230099.155210992
"357","Hombre","Parcial","Cauquenes","p72",2013,124614.736804676
"358","Hombre","Parcial","Cauquenes","p72",2014,189599.813261072
"359","Hombre","Parcial","Cauquenes","p72",2015,181897.301073578
"360","Hombre","Parcial","Cautín","p91",2010,127303.318095055
"361","Hombre","Parcial","Cautín","p91",2011,170324.051577114
"362","Hombre","Parcial","Cautín","p91",2012,122548.488905053
"363","Hombre","Parcial","Cautín","p91",2013,187724.093541285
"364","Hombre","Parcial","Cautín","p91",2014,266015.279758654
"365","Hombre","Parcial","Cautín","p91",2015,183272.656543941
"366","Hombre","Parcial","Chacabuco","p133",2010,173215.904113448
"367","Hombre","Parcial","Chacabuco","p133",2011,108173.961319276
"368","Hombre","Parcial","Chacabuco","p133",2012,194774.368143388
"369","Hombre","Parcial","Chacabuco","p133",2013,204971.698741463
"370","Hombre","Parcial","Chacabuco","p133",2014,178528.464955448
"371","Hombre","Parcial","Chacabuco","p133",2015,158361.683044368
"372","Hombre","Parcial","Chañaral","p32",2010,20000
"373","Hombre","Parcial","Chañaral","p32",2011,72000
"374","Hombre","Parcial","Chañaral","p32",2012,211280.775201154
"375","Hombre","Parcial","Chañaral","p32",2014,467781.566373614
"376","Hombre","Parcial","Chañaral","p32",2015,179136.690731444
"377","Hombre","Parcial","Chiloé","p102",2010,98408.6008234116
"378","Hombre","Parcial","Chiloé","p102",2011,132825.777296919
"379","Hombre","Parcial","Chiloé","p102",2012,182109.730231376
"380","Hombre","Parcial","Chiloé","p102",2013,145148.759832412
"381","Hombre","Parcial","Chiloé","p102",2014,241798.061930736
"382","Hombre","Parcial","Chiloé","p102",2015,256805.346569499
"383","Hombre","Parcial","Choapa","p42",2010,138548.047577409
"384","Hombre","Parcial","Choapa","p42",2011,145599.066882031
"385","Hombre","Parcial","Choapa","p42",2012,237952.26210542
"386","Hombre","Parcial","Choapa","p42",2013,258031.235752224
"387","Hombre","Parcial","Choapa","p42",2014,178871.372971769
"388","Hombre","Parcial","Choapa","p42",2015,226223.03158671
"389","Hombre","Parcial","Colchagua","p63",2010,154059.374883147
"390","Hombre","Parcial","Colchagua","p63",2011,117731.083018714
"391","Hombre","Parcial","Colchagua","p63",2012,267505.066950961
"392","Hombre","Parcial","Colchagua","p63",2013,276790.582762217
"393","Hombre","Parcial","Colchagua","p63",2014,251809.846839951
"394","Hombre","Parcial","Colchagua","p63",2015,140906.854929996
"395","Hombre","Parcial","Concepción","p81",2010,166617.458188287
"396","Hombre","Parcial","Concepción","p81",2011,142678.453021864
"397","Hombre","Parcial","Concepción","p81",2012,142885.17284307
"398","Hombre","Parcial","Concepción","p81",2013,199114.810570468
"399","Hombre","Parcial","Concepción","p81",2014,219753.027325919
"400","Hombre","Parcial","Concepción","p81",2015,220305.097425873
"401","Hombre","Parcial","Copiapó","p31",2010,305937.867406019
